INSERT into siswa (id_siswa, nama_siswa, tanggal_lahir, kelamin) VALUES
('124598','lutfi','2006-12-26','L'),
('222327','tono','2011-04-19','P'),
('060846','wawan','2010-08-20','P'),
('285440','putri','2006-08-01','P'),
('507803','rina','2013-12-24','L'),
('986027','rina','2009-05-19','P'),
('835823','utami','2005-09-10','L'),
('862294','rina','2008-08-14','P'),
('815434','eka','2007-02-22','L'),
('850255','ayu','2007-05-01','L'),
('481332','gita','2015-12-02','L'),
('274409','budi','2011-05-13','P'),
('093906','hendra','2006-10-12','L'),
('286353','zahra','2013-07-16','P'),
('820654','ayu','2011-01-07','L'),
('121165','lia','2009-03-08','P'),
('129724','gita','2008-10-25','P'),
('626630','rudi','2015-03-25','L'),
('989943','indah','2011-08-23','L'),
('893850','citra','2009-11-03','L'),
('222343','dewi','2005-02-24','P'),
('128923','kartika','2012-09-18','P'),
('405152','utami','2011-04-05','P'),
('461443','budi','2015-04-05','L'),
('582231','budi','2012-09-11','L'),
('798812','eka','2014-08-27','P'),
('017328','lia','2013-07-09','L'),
('200055','rizky','2008-06-12','L'),
('585180','rudi','2015-11-12','L'),
('331606','hendra','2005-03-11','L'),
('253259','yoga','2005-01-04','P'),
('239119','vina','2005-03-02','P'),
('907710','mira','2012-07-13','P'),
('383057','agus','2014-05-06','P'),
('232177','putri','2012-07-20','L'),
('201587','indah','2005-04-24','P'),
('838074','nanda','2007-08-24','P'),
('236727','zahra','2013-04-25','P'),
('114618','sinta','2013-05-28','P'),
('044166','mira','2009-05-31','P'),
('809598','hendra','2012-12-30','L'),
('385433','sinta','2014-12-26','P'),
('976084','gita','2014-05-26','P'),
('953766','wawan','2012-06-27','P'),
('414963','sari','2008-04-24','P'),
('465188','nanda','2008-05-08','P'),
('989273','ayu','2009-02-06','P'),
('928657','fajar','2013-11-16','L'),
('703116','fajar','2015-08-02','L'),
('489123','ayu','2012-05-22','P'),
('587264','rudi','2008-06-22','P'),
('652249','mira','2015-07-01','P'),
('831389','yoga','2010-09-17','P'),
('723488','indah','2011-07-09','L'),
('829930','ayu','2014-08-26','L'),
('566200','budi','2008-11-12','L'),
('842248','wawan','2005-03-18','L'),
('401290','budi','2010-12-24','P'),
('517334','zahra','2011-06-12','L'),
('621684','budi','2005-09-27','P'),
('515971','rudi','2013-05-09','P'),
('580787','fajar','2014-09-14','L'),
('360272','ayu','2011-12-08','L'),
('243272','eka','2013-12-22','P'),
('418222','fajar','2015-10-21','P'),
('641640','ayu','2007-09-25','P'),
('549555','bayu','2006-11-10','P'),
('183793','agus','2010-10-16','P'),
('655514','rudi','2006-01-30','L'),
('804004','putri','2005-11-23','L'),
('373782','hendra','2011-03-13','P'),
('044538','nanda','2009-06-08','P'),
('362540','rizky','2008-04-12','P'),
('443751','dewi','2010-11-26','L'),
('058929','joko','2007-10-30','L'),
('553145','lia','2010-06-25','L'),
('616968','sinta','2015-02-17','P'),
('412805','tono','2008-10-21','L'),
('978139','agus','2015-11-06','L'),
('393885','lutfi','2012-10-02','P'),
('618919','wawan','2013-05-04','P'),
('452813','bayu','2015-11-03','L'),
('554321','putri','2013-12-12','L'),
('007447','lia','2009-08-22','L'),
('867053','zahra','2005-07-20','P'),
('320020','budi','2012-04-17','L'),
('494107','tono','2009-01-03','P'),
('579641','hendra','2013-05-30','P'),
('093387','dewi','2011-04-01','P'),
('854843','zahra','2012-09-04','P'),
('823278','gita','2015-11-01','P'),
('552688','rudi','2007-09-20','P'),
('107441','dewi','2010-01-16','L'),
('268838','farah','2012-06-08','L'),
('456273','zahra','2012-10-06','L'),
('005036','yoga','2010-09-17','L'),
('063289','citra','2011-05-07','L'),
('881942','nanda','2011-10-19','P'),
('202201','eka','2015-08-27','L'),
('367468','dewi','2008-09-04','P'),
('436332','sinta','2013-06-21','L'),
('168087','dewi','2006-01-28','P'),
('095027','dewi','2007-02-05','L'),
('398424','citra','2013-08-17','P'),
('374146','utami','2005-10-08','L'),
('755863','rizky','2008-06-20','L'),
('154348','ayu','2015-03-09','L'),
('498363','lia','2007-08-08','P'),
('163711','bayu','2006-06-11','P'),
('734434','indah','2009-09-19','L'),
('562819','zahra','2012-09-14','P'),
('709019','agus','2005-02-21','P'),
('806330','sinta','2008-03-01','P'),
('197264','lia','2005-10-15','P'),
('083229','rizky','2012-01-07','P'),
('656856','vina','2005-09-09','P'),
('320408','ayu','2014-09-20','P'),
('727495','wawan','2014-05-19','P'),
('162969','farah','2009-07-26','P'),
('875737','utami','2010-08-02','L'),
('679578','putri','2010-04-07','P'),
('241964','farah','2014-02-04','P'),
('088658','gita','2013-12-11','P'),
('444266','hendra','2014-09-01','L'),
('672295','putri','2007-02-03','L'),
('070507','tono','2011-10-12','L'),
('821397','indah','2010-07-02','L'),
('659361','lia','2015-04-03','L'),
('703749','bayu','2014-07-04','L'),
('584154','indah','2005-01-17','P'),
('831842','tono','2014-09-07','L'),
('335108','gita','2006-01-20','L'),
('974165','ayu','2012-11-29','L'),
('040185','lutfi','2009-01-10','P'),
('088713','sari','2008-03-25','L'),
('440013','citra','2010-01-22','P'),
('459998','hendra','2010-04-24','L'),
('936554','agus','2010-03-17','L'),
('193308','citra','2009-11-21','L'),
('222855','rina','2009-04-25','L'),
('285818','kartika','2012-06-21','P'),
('012734','sari','2013-12-24','P'),
('891637','agus','2008-09-17','L'),
('480725','dewi','2009-05-31','L'),
('035205','bayu','2015-12-16','P'),
('701272','wawan','2012-06-03','P'),
('591351','mira','2006-07-26','P'),
('054012','sinta','2013-03-11','L'),
('266913','utami','2006-04-09','P'),
('031332','hendra','2014-09-29','L'),
('859224','lia','2015-11-16','P'),
('841950','sari','2014-08-24','L'),
('723659','rina','2007-11-12','P'),
('476761','yoga','2008-06-04','L'),
('659321','sari','2006-11-29','P'),
('865526','joko','2008-07-04','P'),
('656563','sinta','2011-09-27','P'),
('412840','citra','2012-07-03','P'),
('389404','citra','2009-04-19','L'),
('327474','kartika','2012-11-05','P'),
('730509','zahra','2011-06-22','L'),
('085246','bayu','2007-06-19','L'),
('538334','sari','2008-07-25','L'),
('136437','indah','2012-02-01','P'),
('592363','agus','2006-01-21','L'),
('802787','zahra','2008-05-06','P'),
('365833','utami','2014-08-02','P'),
('120126','lia','2011-10-02','L'),
('684214','farah','2015-05-09','L'),
('245789','yoga','2009-08-30','L'),
('740036','wawan','2015-04-08','L'),
('832531','rina','2015-11-06','P'),
('387530','lia','2005-04-28','P'),
('073058','tono','2006-12-01','P'),
('712839','gita','2015-12-14','P'),
('536952','sinta','2008-05-01','L'),
('620772','citra','2010-08-14','P'),
('897121','gita','2012-11-28','P'),
('809317','nanda','2007-02-27','P'),
('244048','vina','2014-10-28','L'),
('270227','agus','2007-03-24','L'),
('293571','mira','2010-09-14','L'),
('189156','wawan','2010-04-26','L'),
('788480','lutfi','2006-09-13','L'),
('218612','hendra','2013-05-12','L'),
('700589','budi','2009-03-27','P'),
('907165','rina','2009-02-16','L'),
('657990','lutfi','2009-03-26','L'),
('807176','citra','2005-12-22','P'),
('886494','nanda','2009-11-06','L'),
('700511','vina','2006-06-09','P'),
('714888','budi','2012-11-21','P'),
('960882','ayu','2009-11-04','P'),
('888829','tono','2012-07-22','P'),
('359619','vina','2008-07-19','P'),
('606007','vina','2005-05-21','L'),
('987124','lia','2014-07-06','L'),
('212157','agus','2012-12-25','P'),
('775608','agus','2014-08-05','L'),
('324424','budi','2013-01-31','P'),
('496662','wawan','2013-08-14','L'),
('966113','lia','2011-03-18','L'),
('866974','indah','2012-12-15','L'),
('175714','sinta','2005-05-01','P'),
('486440','rudi','2013-04-02','L'),
('880009','dewi','2014-06-13','L'),
('085393','sari','2007-07-03','L'),
('742546','gita','2005-07-20','P'),
('195735','rizky','2010-12-09','P'),
('231347','wawan','2006-04-22','L'),
('754578','rizky','2014-12-28','P'),
('313298','hendra','2006-11-09','L'),
('410397','rina','2008-11-15','P'),
('735605','farah','2014-01-21','P'),
('109057','indah','2007-11-13','P'),
('634020','bayu','2010-09-17','L'),
('681496','kartika','2008-08-07','P'),
('238252','utami','2010-11-29','L'),
('589539','rudi','2006-07-23','P'),
('927016','farah','2006-04-23','L'),
('838559','sinta','2006-05-02','L'),
('003728','nanda','2011-04-18','P'),
('039963','citra','2005-07-06','L'),
('291449','bayu','2005-07-09','P'),
('729833','ayu','2007-12-14','P'),
('585341','agus','2015-01-30','L'),
('785580','wawan','2012-08-14','L'),
('953394','sari','2014-04-02','L'),
('249700','indah','2006-07-17','P'),
('379260','farah','2006-06-10','L'),
('078978','zahra','2015-01-29','P'),
('410183','gita','2009-04-19','L'),
('706995','tono','2007-04-26','P'),
('986086','lia','2009-01-05','P'),
('101896','indah','2007-11-17','P'),
('259154','fajar','2013-01-07','L'),
('509928','indah','2006-03-02','P'),
('120065','farah','2008-05-25','P'),
('444294','dewi','2008-11-16','P'),
('385826','rina','2007-07-03','L'),
('901769','indah','2011-08-29','L'),
('843006','sinta','2010-09-26','L'),
('012363','bayu','2013-10-01','L'),
('519674','utami','2008-03-11','L'),
('620087','farah','2011-03-18','P'),
('778200','vina','2006-03-17','P'),
('111464','utami','2015-02-23','L'),
('216555','lutfi','2009-08-08','L'),
('335563','dewi','2009-10-11','P'),
('095142','ayu','2015-11-23','L'),
('046680','lia','2009-06-22','P'),
('678013','lia','2007-03-16','P'),
('975042','dewi','2015-02-11','P'),
('491592','rudi','2009-11-24','P'),
('289261','sinta','2013-10-29','L'),
('161543','citra','2011-10-25','P'),
('494476','nanda','2010-04-16','L'),
('518719','ayu','2006-07-21','P'),
('076492','indah','2009-12-25','P'),
('849917','mira','2015-05-08','L'),
('839550','bayu','2007-06-26','L'),
('609438','bayu','2007-03-01','L'),
('084884','putri','2007-12-25','P'),
('952173','kartika','2005-02-03','L'),
('368813','lutfi','2011-12-19','L'),
('288750','gita','2010-10-25','P'),
('022892','tono','2005-10-23','L'),
('140492','citra','2010-02-20','P'),
('397162','gita','2011-09-30','L'),
('266252','sinta','2007-02-16','L'),
('002499','budi','2007-06-15','L'),
('321897','fajar','2006-08-13','L'),
('672489','hendra','2010-02-12','L'),
('290123','sari','2007-01-20','P'),
('868305','ayu','2006-05-09','P'),
('934361','lia','2015-12-02','L'),
('478058','zahra','2009-01-24','P'),
('580283','tono','2007-09-08','P'),
('466706','zahra','2010-06-25','P'),
('757115','rina','2013-02-24','L'),
('990432','eka','2015-10-08','P'),
('905886','hendra','2005-04-13','L'),
('363611','zahra','2015-08-28','L'),
('930185','eka','2009-05-08','L'),
('095014','agus','2007-11-29','L'),
('833887','nanda','2008-03-23','P'),
('805781','vina','2009-12-11','L'),
('122567','dewi','2009-07-05','L'),
('003698','fajar','2010-03-25','L'),
('132743','tono','2008-10-16','L'),
('052556','fajar','2011-08-15','L'),
('554396','citra','2005-12-03','L'),
('508293','gita','2012-05-13','P'),
('013104','joko','2012-01-20','L'),
('119132','eka','2009-06-11','L'),
('277039','agus','2008-07-06','P'),
('119687','agus','2013-10-18','L'),
('249040','agus','2007-08-07','L'),
('296205','eka','2010-12-14','L'),
('845506','tono','2009-06-04','P'),
('367963','sinta','2009-05-05','P'),
('253071','lutfi','2014-06-25','P'),
('820484','bayu','2010-06-12','L'),
('386955','putri','2005-03-28','P'),
('408455','mira','2008-09-18','P'),
('849890','tono','2005-04-05','P'),
('771893','mira','2010-04-17','P'),
('302308','joko','2014-10-16','L'),
('629273','tono','2008-07-26','P'),
('661816','joko','2015-04-25','P'),
('905340','kartika','2013-01-14','L'),
('579661','putri','2010-09-09','L'),
('463501','wawan','2006-12-08','P'),
('312436','lutfi','2006-10-01','P'),
('767482','agus','2008-08-13','L'),
('310345','hendra','2014-07-07','L'),
('564492','eka','2009-05-13','L'),
('523584','vina','2007-02-19','L'),
('977005','gita','2013-02-17','P'),
('643624','rudi','2014-06-03','L'),
('304031','rudi','2012-12-18','L'),
('161900','dewi','2015-12-08','L'),
('120797','rizky','2010-03-11','P'),
('098281','rina','2008-07-15','L'),
('588337','rina','2007-01-02','L'),
('907267','budi','2006-06-24','P'),
('066248','lia','2015-03-25','L'),
('679089','citra','2011-02-02','P'),
('765391','lutfi','2013-02-07','P'),
('110874','rudi','2012-12-31','P'),
('326944','sari','2005-05-10','P'),
('507592','bayu','2015-08-25','L'),
('143440','sari','2012-04-20','L'),
('551437','wawan','2007-05-31','L'),
('543432','zahra','2012-10-27','P'),
('055873','lia','2011-05-22','P'),
('591797','sinta','2008-06-06','L'),
('995443','eka','2011-06-27','L'),
('760440','tono','2010-03-30','L'),
('598338','ayu','2009-09-22','L'),
('595801','budi','2014-10-13','P'),
('992729','hendra','2015-09-09','P'),
('250821','budi','2012-02-06','P'),
('616789','yoga','2010-04-07','L'),
('557614','joko','2008-10-26','L'),
('447491','joko','2015-11-16','P'),
('324781','fajar','2010-03-11','L'),
('967216','rudi','2012-12-01','P'),
('609446','sari','2008-05-29','L'),
('591521','tono','2005-01-05','P'),
('819573','indah','2006-08-05','L'),
('051740','agus','2014-01-14','L'),
('911239','joko','2009-04-29','P'),
('521727','indah','2007-06-29','L'),
('456002','eka','2008-02-29','L'),
('739403','yoga','2009-07-27','P'),
('695883','nanda','2007-09-07','L'),
('723017','sinta','2009-04-15','L'),
('260379','ayu','2006-07-11','L'),
('728061','ayu','2012-04-09','P'),
('023361','rina','2013-10-16','L'),
('778589','rina','2009-07-17','P'),
('193384','bayu','2011-09-09','L'),
('041054','fajar','2005-11-11','P'),
('705529','citra','2005-07-29','P'),
('331821','utami','2009-08-29','L'),
('274125','tono','2010-01-20','L'),
('942213','joko','2008-06-22','L'),
('951873','farah','2014-09-28','P'),
('580255','rina','2009-11-24','L'),
('933943','bayu','2008-06-17','L'),
('145805','ayu','2009-01-26','L'),
('839443','zahra','2013-06-24','L'),
('235210','indah','2005-06-04','L'),
('233157','vina','2008-11-04','L'),
('317336','lutfi','2011-08-07','L'),
('838941','kartika','2015-05-15','L'),
('849328','agus','2009-09-25','L'),
('276886','lia','2007-12-08','P'),
('203096','joko','2005-12-05','L'),
('857974','farah','2005-12-22','L'),
('844521','yoga','2014-02-15','P'),
('954910','rudi','2012-01-05','L'),
('063143','rina','2011-11-23','L'),
('538604','nanda','2015-03-26','P'),
('465716','putri','2013-08-21','P'),
('639407','dewi','2012-12-28','P'),
('030685','rina','2009-08-24','L'),
('687184','budi','2013-11-24','L'),
('421094','sinta','2014-07-31','P'),
('856284','ayu','2011-08-31','L'),
('812117','budi','2013-09-30','P'),
('480050','agus','2007-12-08','L'),
('646734','utami','2014-10-25','P'),
('484382','budi','2009-06-06','P'),
('954416','farah','2012-06-02','L'),
('005348','tono','2010-11-05','P'),
('884823','budi','2013-05-23','P'),
('589916','indah','2015-08-31','P'),
('083810','rudi','2008-03-29','L'),
('705714','vina','2009-08-04','P'),
('286638','mira','2013-11-09','P'),
('519044','rina','2006-06-06','P'),
('967202','gita','2015-12-23','L'),
('813359','mira','2010-03-30','P'),
('435298','rina','2012-11-25','L'),
('394352','rudi','2015-12-07','P'),
('546696','rudi','2015-05-12','P'),
('990378','zahra','2008-03-29','P'),
('076966','vina','2008-11-15','L'),
('862706','putri','2005-03-03','P'),
('447254','farah','2012-12-13','P'),
('934140','indah','2008-06-29','L'),
('646878','rudi','2012-01-26','L'),
('301735','farah','2005-01-27','L'),
