INSERT into tentor (id_tentor, nama_tentor, alamat_tentor, tanggal_t) VALUES
('695503','Owen','Makfag Center','30-8-1964'),
('829095','Elijah','Revu Glen','18-4-1986'),
('042287','Edna','Lepew Ridge','1-4-1991'),
('330166','William','Amsi Terrace','10-12-1983'),
('358758','Landon','Lugim Grove','13-2-1983'),
('765516','Lydia','Piiv Extension','30-8-2003'),
('310882','Miguel','Pohiv Path','1-3-1968'),
('043727','Jason','Venacu Path','8-8-1974'),
('349544','Lucy','Hatdes Court','9-11-1960'),
('619137','Jared','Kivki Glen','20-7-1982'),
('585666','Adeline','Kuzfoz Loop','16-1-1967'),
('706454','Ellen','Hezcar Road','10-9-1976'),
('162131','Corey','Wait Way','11-2-1976'),
('104659','Edwin','Iwab Place','21-9-1972'),
('726549','Luke','Radjo Grove','16-8-1976'),
('756316','Edward','Tage Park','9-6-1972'),
('077474','Allie','Koco Street','22-6-1978'),
('682634','Bradley','Kekja Plaza','29-4-1992'),
('830028','Lottie','Zugap Grove','3-12-1964'),
('519376','Myra','Mikos Pass','20-7-2004'),
('343400','Aaron','Esuwe Trail','27-6-1991'),
('269950','Cory','Heba Road','10-12-1987'),
('932672','Sue','Meduwa Street','4-5-2003'),
('703362','Gussie','Godtuj Mill','3-9-1966'),
('056504','Ann','Sigo Key','9-8-1984'),
('580807','Roxie','Jerhi Street','20-6-1967'),
('106544','Adrian','Rewwav Pike','21-4-1966'),
('798048','Ronnie','Bergo Park','10-6-1963'),
('914703','Dorothy','Ahuruf Pass','7-5-1989'),
('524625','Irene','Wukdiz Parkway','7-2-1989'),
('661738','Ella','Neew Place','15-8-1992'),
('000483','Hester','Loza Turnpike','15-7-1978'),
('278048','Louis','Cehtab Manor','16-11-1969'),
('775467','Lucas','Udheb Park','15-2-2000'),
('705412','Henrietta','Lajak Pass','17-1-1961'),
('781432','Cynthia','Jodpok Court','3-5-1985'),
('916755','Nora','Ibafoh Plaza','31-5-1987'),
('969034','Duane','Ohetaj Lane','10-10-1967'),
('594735','Theodore','Agzi Path','24-3-1961'),
('367788','Carlos','Tiigi Place','6-5-1967'),
('141826','Lela','Imije Grove','23-10-1970'),
('836825','Jesse','Jebo Pass','7-7-1999'),
('120723','Carlos','Tecmet Highway','19-11-1983'),
('513625','Jason','Otewa Pass','14-12-2006'),
('087312','Louis','Bucop Path','2-10-2006'),
('768192','Henrietta','Naid Key','8-2-1987'),
('443847','Stella','Ehok Mill','28-11-1974'),
('862237','Eugene','Jaghel Circle','22-5-1968'),
('281842','Joshua','Okomo Key','12-8-1976'),
('140701','Marian','Fuseho Trail','4-8-2000'),
('296038','Amy','Dose Manor','26-9-1974'),
('704212','Rosetta','Pumjo Lane','8-12-1984'),
('659942','Ida','Dajnuh River','19-3-1995'),
('170908','Louis','Dobva Way','14-8-1998'),
('909716','Timothy','Egofak Glen','24-9-1974'),
('172094','Jessie','Kuta Way','17-6-1996'),
('818632','Alberta','Jiki Center','12-6-1981'),
('057405','Lou','Efok Path','15-2-1994'),
('907534','Devin','Urzud Terrace','3-7-1993'),
('056576','Luella','Elipi Heights','24-11-1992'),
('965632','Cecilia','Zavtu Grove','20-10-1992'),
('326664','Lina','Ephi Road','9-2-1975'),
('214137','Marvin','Wala Avenue','8-3-1970'),
('221041','Theodore','Enjer Way','10-9-1982'),
('809466','Miguel','Igude Key','9-1-1993'),
('657767','Ian','Napneb Park','21-5-1973'),
('758949','Willie','Risget Lane','23-9-2004'),
('459918','Aiden','Wisfo Circle','5-1-1998'),
('227839','Ruby','Ropva Key','2-2-1995'),
('696716','Angel','Poul View','26-9-2001'),
('786326','Chester','Icuna Circle','3-7-1972'),
('041041','Nellie','Wogjit Heights','23-2-1974'),
('362775','Tillie','Untu Court','2-7-1997'),
('582722','Kevin','Fufa Point','14-5-2006'),
('717190','Kenneth','Gatulo Center','1-7-1982'),
('894715','Chester','Zovdam Highway','30-4-2004'),
('761875','Gabriel','Nonaz Road','21-9-1992'),
('496445','Dale','Istuh Road','23-3-1999'),
('889966','Sean','Vomwis Parkway','6-10-1973'),
('180150','Lela','Uhne View','25-5-2006'),
('956299','Willie','Higi River','30-6-1972'),
('266050','Lillian','Hauf Center','12-11-1968'),
('008357','Eunice','Sopu Turnpike','17-4-1995'),
('037526','Norman','Tujor Lane','13-1-1970'),
('746553','Winnie','Nidpi Mill','14-10-1990'),
('554024','Lena','Genda Manor','4-6-1995'),
('704552','Ricardo','Karip Circle','18-9-1979'),
('615765','Charles','Rudpun Ridge','16-11-1962'),
('223807','Dale','Caro Grove','20-7-1980'),
('980594','Effie','Ujab View','10-11-1996'),
('611413','Devin','Nied Street','19-12-2005'),
('517150','Bill','Mevu Road','1-12-1961'),
('149104','Dustin','Wene Glen','15-11-2000'),
('860745','Helen','Vumav Terrace','8-2-1984'),
('397138','Logan','Lewig Avenue','13-7-1967'),
('784464','Calvin','Ojonam Heights','23-11-1987'),
('487177','Arthur','Tooke Drive','5-9-1966'),
('211089','Anthony','Wube Parkway','21-7-1979'),
('329363','Cody','Pavas View','28-10-1980'),
('798233','Kyle','Gabe Boulevard','20-1-2006'),
('132011','Jimmy','Gecev Center','3-4-1980'),
('595794','Adam','Uzig Ridge','11-10-1980'),
('348140','Eva','Zaszi Center','14-6-1984'),
('675866','Kevin','Danem Boulevard','31-10-1982'),
('064912','Jane','Fovse Key','4-7-1964'),
('038004','Ola','Lavek Loop','23-6-2003'),
('720158','Harold','Iguik Terrace','29-7-1971'),
('651885','Lewis','Sipa Plaza','8-5-1985'),
('272580','Anne','Riki Lane','31-1-1966'),
('373542','Lois','Soob Center','23-12-1996'),
('291399','Kate','Vosdah Terrace','20-10-2007'),
('794828','Rosalie','Cido Highway','10-6-1972'),
('663821','Steven','Nueno Extension','30-9-1980'),
('975903','Pearl','Ijujuc Point','31-7-1997'),
('698419','Maude','Pitno Place','12-11-1989'),
('112104','Bernard','Pebkeb Glen','1-6-1968'),
('520732','Luella','Matro Square','25-2-1994'),
('555788','Mae','Jevzeh Turnpike','24-8-1967'),
('494968','Ray','Viupo Way','1-5-1974'),
('869526','Chase','Katag Boulevard','9-11-1979'),
('574289','Miguel','Muwpel Extension','27-5-2005'),
('630468','Evan','Kuza Mill','13-12-2006'),
('903176','Tony','Taddaw Boulevard','26-12-1975'),
('565025','Maude','Mejeco Street','24-6-1972'),
('463500','Charlotte','Gifu Court','23-2-1986'),
('136460','Florence','Kudez Boulevard','23-11-1994'),
('500932','Carolyn','Filip Key','20-11-1970'),
('402758','Gregory','Oweli Avenue','10-10-2000'),
('587218','Marguerite','Salu Manor','20-9-1993'),
('018265','Cole','Cagme Lane','30-3-1972'),
('085718','Emma','Favis Square','10-3-1962'),
('551879','Nina','Fuhoh Place','25-2-1988'),
('270546','Brett','Vuni Heights','5-4-2002'),
('772089','Lena','Ikova Avenue','18-2-2003'),
('268035','Jennie','Tocpeb Path','23-9-1996'),
('174209','Brett','Muvusa View','23-9-2000'),
('278330','Mable','Ivfe River','17-4-1992'),
('911079','Ricky','Wumlod Avenue','16-5-1990'),
('714391','Claudia','Uvula Ridge','29-12-1965'),
('060169','Birdie','Gepeje Pass','26-11-1984'),
('844433','Julia','Vuhmab Court','4-10-1961'),
('757534','Katharine','Wuvu Turnpike','10-4-1975'),
('836156','Calvin','Rupzeh Lane','1-7-1978'),
('464895','Travis','Hobi Pike','16-10-1974'),
('571909','Glenn','Bilag Ridge','5-4-1992'),
('941425','Adelaide','Zuda Circle','4-4-1968'),
('940297','Hattie','Hanow Turnpike','22-6-1998'),
('144821','Craig','Vizif View','17-7-1980'),
('659601','Phillip','Puid Highway','13-10-1990'),
('233529','Dora','Wisa Park','13-2-1972'),
('884586','Samuel','Hogke Court','29-11-1983'),
('697970','Cynthia','Zufab Road','15-10-2001'),
('349909','Marvin','Opanoz Mill','6-8-1987'),
('186404','Inez','Horak Way','15-6-1996'),
('149696','Rosa','Fono Place','23-2-1990'),
('143311','Lelia','Zemime River','23-1-1991'),
('865894','Margaret','Mucjuk Manor','29-12-1983'),
('063050','Rosie','Dekusa Avenue','20-10-1993'),
('267780','Ryan','Evtaj Street','14-4-1973'),
('862271','Tony','Cospij Place','29-1-1963'),
('394824','Scott','Zedva Parkway','9-5-1992'),
('916639','Leonard','Orusuj River','26-9-1976'),
('391644','Jean','Ivjiw Street','21-10-1965'),
('926683','Teresa','Bugu Place','27-5-1965'),
('390668','Lydia','Otlij Heights','22-2-1989'),
('727981','Lillie','Nowilo Grove','21-12-2005'),
('390419','Della','Hohej Turnpike','21-7-1982'),
('967673','Joseph','Atkiw Terrace','21-7-2000'),
('577347','Louise','Juscu Loop','4-7-1963'),
('091959','Paul','Nolel Drive','8-5-1983'),
('944591','Don','Zisi Park','6-1-1993'),
('139243','Brent','Fefo View','11-4-2003'),
