INSERT into tentor (id_tentor, alamat_tentor, nama_tentor, tanggal_t) VALUES
('814768','anggrek','indah','2023-01-29'),
('485801','mawar','eka','2012-09-24'),
('043019','sakura','indah','2022-01-19'),
('333480','cempaka','rudi','2020-12-23'),
('272230','flamboyan','vina','2010-05-14'),
('017096','bougenville','sari','2023-03-09'),
('179363','flamboyan','dewi','2015-02-11'),
('155695','lily','hendra','2013-06-27'),
('375795','melati','indah','2021-07-14'),
('379014','bougenville','vina','2015-03-19'),
('932104','bougenville','joko','2016-08-11'),
('899797','cempaka','tono','2018-07-14'),
('920280','anggrek','wawan','2018-08-16'),
('223770','bougenville','hendra','2018-06-29'),
('075472','cempaka','kartika','2012-05-05'),
('317966','flamboyan','vina','2018-01-15'),
('515919','lily','utami','2013-09-01'),
('885081','lily','ayu','2012-02-12'),
('070581','flamboyan','sari','2011-02-12'),
('321718','kenanga','joko','2015-01-26'),
('767824','bougenville','joko','2018-06-22'),
('190970','cempaka','sari','2020-01-26'),
('392391','kenanga','sari','2010-06-16'),
('334045','flamboyan','wawan','2019-09-17'),
('891787','anggrek','dewi','2016-06-15'),
('895549','kenanga','wawan','2012-01-04'),
('822497','kenanga','sari','2020-05-28'),
('356065','lily','fajar','2021-06-07'),
('990731','cempaka','dewi','2015-03-04'),
('748568','sakura','gita','2012-04-12'),
('125794','sakura','gita','2025-10-14'),
('905951','bougenville','mira','2023-08-06'),
('397597','kenanga','vina','2013-03-26'),
('632817','anggrek','sari','2019-08-04'),
('071083','sakura','vina','2023-02-02'),
('560864','flamboyan','gita','2011-08-16'),
('070303','teratai','ayu','2014-10-07'),
('182173','cempaka','gita','2012-12-21'),
('810497','lily','rudi','2025-11-02'),
('110649','mawar','nanda','2014-03-27'),
('463210','teratai','mira','2017-02-21'),
('182795','sakura','eka','2021-07-22'),
('339944','teratai','dewi','2020-06-15'),
('447897','anggrek','hendra','2010-07-04'),
('372523','kenanga','budi','2021-10-14'),
('238414','mawar','nanda','2018-09-09'),
('977504','lily','sari','2011-06-18'),
('425536','lily','tono','2014-05-19'),
('393766','cempaka','budi','2019-04-04'),
('823537','melati','eka','2019-09-21'),
('776255','melati','mira','2025-12-22'),
('001306','anggrek','nanda','2018-10-25'),
('102315','flamboyan','gita','2022-03-13'),
('323256','flamboyan','sari','2022-02-26'),
('115861','sakura','utami','2024-04-08'),
('394342','sakura','hendra','2020-03-01'),
('818643','sakura','sari','2015-06-29'),
('184243','melati','nanda','2024-10-29'),
('828141','bougenville','indah','2025-12-02'),
('932607','flamboyan','eka','2010-07-15'),
('328506','teratai','utami','2019-01-15'),
('640700','melati','wawan','2012-07-22'),
('202082','cempaka','eka','2017-10-12'),
