INSERT INTO wali_siswa (nik, nama_w, alamat_w,tanggal_w) VALUES
('3836734884491125','Dominic Hoffman','Wummo Pass','2077-07-04'),
('8875309049304619','Josephine Gilbert','Civpeb Park','2056-05-18'),
('0994392538374545','Johnny Fox','Sejot Parkway','2074-05-21'),
('8940597616894625','Isaiah Guerrero','Vaaco Court','2079-04-28'),
('9213845042034278','Bess Davis','Ophob Way','2050-01-04'),
('9906852605040399','Edward Armstrong','Zovlas Plaza','2104-11-16'),
('1853025141717251','Seth Barton','Ewvuw Mill','2099-06-27'),
('2867665178063931','Darrell Mack','Udpov Plaza','2078-03-20'),
('0728399703980518','Margaret Moody','Bendog Circle','2077-10-07'),
('3145551375736332','Laura Davis','Joima Heights','2044-06-01'),
('3706718972814468','Lela Howard','Cozug Path','2122-10-29'),
('1604549006874586','Harold Blake','Gana Court','2057-11-08'),
('0946301023991950','Gertrude Andrews','Vipu Manor','2119-06-03'),
('1192757199235305','Ricky Carroll','Acokaf Lane','2055-05-20'),
('8458046576757648','Mario Schneider','Talji Pass','2066-09-03'),
('3934985849321619','Lee West','Lofu Manor','2082-07-31'),
('9716022649521593','Gregory Dawson','Avav Place','2117-08-11'),
('7285976193068828','Elsie Johnston','Zowa Point','2106-04-26'),
('7518442944332137','Lettie Carr','Ocjuc Grove','2104-06-11'),
('7758002663834185','Curtis Bryan','Dunod Terrace','2120-06-04'),
('4592995080888371','Mary Clark','Nuro Mill','2075-06-01'),
('3329060298686120','Marie Abbott','Ukhac Turnpike','2110-05-29'),
('6081207903880749','Hilda Bryant','Vufcar Mill','2071-07-04'),
('5854634416260030','Marion Hopkins','Lenu Lane','2054-10-28'),
('9154984316877686','Lillian Meyer','Hewi Road','2120-08-16'),
('4744412612003187','Nina Lawson','Ewnim View','2069-09-14'),
('0646199752516826','Johnny Frazier','Macda Street','2105-09-08'),
('9241479582835268','Beulah Robertson','Zubtic Junction','2029-11-21'),
('8761625697316409','Birdie Adkins','Kubo Heights','2071-11-03'),
('9247418353621149','Brent Warner','Fihop Highway','2073-04-20'),
('8103874106556738','Eugene Sharp','Ropor Junction','2057-02-15'),
('3099794114354014','Marion Mendoza','Rinwo Plaza','2044-09-01'),
('6112176685510004','Theresa Baldwin','Ebku Glen','2111-04-04'),
('8499413139813408','Louisa Cain','Waawe Heights','2067-03-20'),
('8770300834802118','Barry Steele','Zaluc View','2087-01-29'),
('2834506282248115','Gussie McKinney','Ratat Highway','2108-10-08'),
('4637374260672971','Charles Meyer','Tifu Grove','2049-08-21'),
('8359521121383589','Peter Chavez','Izroh View','2048-05-10'),
('5011489992490390','Gary Peterson','Gogmu Heights','2043-06-18'),
('5562572889006243','Clarence Moore','Imifo Park','2068-01-05'),
('9290848064084219','Cynthia Bryan','Wakda Lane','2106-03-13'),
('2342422850783600','Pearl Carpenter','Jite Junction','2119-01-02'),
('8441282269145850','Isabella Neal','Johos Parkway','2081-08-13'),
('4263406247412367','Lula Vaughn','Finnuv River','2093-02-07'),
('6287888274285103','Marian Peterson','Kuci Trail','2121-05-18'),
('1560257015332839','Millie Adkins','Zere Park','2095-12-13'),
('2097190775947812','Nathan James','Bulu Mill','2082-03-11'),
('8082898865549455','Hannah Harper','Wujmi Manor','2102-08-30'),
('7164184701304509','Addie Arnold','Katuje Grove','2045-07-23'),
('7401416472834449','Barbara Gonzalez','Cacudi Pike','2103-12-25'),
('3974254744641769','Bettie Lambert','Dojah Square','2066-03-15'),
('3413276358224042','Sean Austin','Tivoku Trail','2072-05-14'),
('8207075744679027','Herman Mack','Udomup Trail','2088-12-19'),
('4617185597124215','Kenneth Stephens','Madva Trail','2039-06-05'),
('3845807474591879','Louise Marsh','Laji Street','2070-05-02'),
('0886790128836445','Marcus Aguilar','Suuw Avenue','2114-04-06'),
('6929412852153979','Vera Morris','Pubhol Place','2124-07-14'),
('7635137034626033','Lola McCoy','Pujnam Point','2069-10-07'),
('1750604011621113','Mollie Brooks','Runka Pike','2106-01-11'),
('4340608516383224','Cecilia Garrett','Tuju Key','2048-09-22'),
('8220599566845317','Etta Flowers','Cenafo Mill','2034-05-26'),
('8369960621562056','Albert West','Urbo Loop','2078-08-25'),
('3610237816410597','Michael Watts','Jupwuf Glen','2097-04-09'),
('3551009744954862','Lula Daniel','Hiso Place','2028-11-25'),
('0456690736317110','Willie Massey','Nuvad Drive','2067-04-01'),
('3142567597412669','Louisa Baker','Alagu Parkway','2053-05-10'),
('1664454328457194','Isabelle Reese','Asuzoj Circle','2085-02-09'),
('6475330707759266','Rosetta Harrington','Fusiw Way','2080-06-22'),
('8921090154541741','Virginia Miller','Mudak Road','2065-05-14'),
('2896749559254144','Victoria Clark','Uhoje Way','2047-10-15'),
('0687796960750467','Shane Young','Tejpaf Boulevard','2047-03-29'),
('3948241924414607','Henrietta Hines','Penmu Plaza','2093-04-15'),
('9128787622254669','Hilda Bell','Ofne Path','2058-08-04'),
('8944023772300257','Maurice Vasquez','Rodje Ridge','2072-10-27'),
('9644173253760451','Cora Anderson','Caedo Boulevard','2068-01-22'),
('1332499580170610','Clarence Spencer','Mipi Square','2114-03-17'),
('4022178249818367','Lucas Schultz','Cowip Turnpike','2043-11-16'),
('3914778878018095','Maud Potter','Gesu Circle','2053-03-01'),
('1147883678480600','Teresa Neal','Zuic Road','2050-08-03'),
('6496419531727696','Rosie Dennis','Kuiz Plaza','2025-10-28'),
('7684141663616940','Jerome Harvey','Bujo Grove','2049-07-11'),
('4321754323033456','Jeremy Gill','Wizuc Circle','2049-02-28'),
('5585323848178906','Landon Holmes','Sakfuc Street','2058-09-25'),
('6618271530441858','Dorothy White','Igozec Boulevard','2090-05-21'),
